citation,pmid
"Miner LH, Jedema HP, Moore FW, Blakely RD, Grace AA, Sesack SR. Chronic stress increases the plasmalemmal distribution of the norepinephrine transporter and the coexpression of tyrosine hydroxylase in norepinephrine axons in the prefrontal cortex. J Neurosci. 2006 Feb 1;26(5):1571–8.",16452680
"Iwamoto H, Blakely RD, De Felice LJ. Na+, Cl-, and pH dependence of the human choline transporter (hCHT) in Xenopus oocytes: the proton inactivation hypothesis of hCHT in synaptic vesicles. J Neurosci. 2006 Sep 27;26(39):9851–9.",17005849
"Mazei-Robison MS, Bowton E, Holy M, Schmudermaier M, Freissmuth M, Sitte HH, et al. Anomalous dopamine release associated with a human dopamine transporter coding variant. J Neurosci. 2008 Jul 9;28(28):7040–6.",18614672
"Jayanthi LD, Samuvel DJ, Blakely RD, Ramamoorthy S. Evidence for biphasic effects of protein kinase C on serotonin transporter function, endocytosis, and phosphorylation. Mol Pharmacol. 2005 Jun;67(6):2077–87.",15774771
"Carneiro AMD, Cook EH, Murphy DL, Blakely RD. Interactions between integrin alphaIIbbeta3 and the serotonin transporter regulate serotonin transport and platelet aggregation in mice and humans. J Clin Invest. 2008 Apr;118(4):1544–52.",18317590
"Hahn MK, Blakely RD. The functional impact of SLC6 transporter genetic variation. Annu Rev Pharmacol Toxicol. 2007;47:401–41.",17067279
"Liprando LA, Miner LH, Blakely RD, Lewis DA, Sesack SR. Ultrastructural interactions between terminals expressing the norepinephrine transporter and dopamine neurons in the rat and monkey ventral tegmental area. Synapse. 2004 Jun 15;52(4):233–44.",15103690
"Sung U, Apparsundaram S, Galli A, Kahlig KM, Savchenko V, Schroeter S, et al. A regulated interaction of syntaxin 1A with the antidepressant-sensitive norepinephrine transporter establishes catecholamine clearance capacity. J Neurosci. 2003 Mar 1;23(5):1697–709.",12629174
"Zhu C-B, Blakely RD, Hewlett WA. The proinflammatory cytokines interleukin-1beta and tumor necrosis factor-alpha activate serotonin transporters. Neuropsychopharmacology. 2006 Oct;31(10):2121–31.",16452991
"Zhu C-B, Hewlett WA, Feoktistov I, Biaggioni I, Blakely RD. Adenosine receptor, protein kinase G, and p38 mitogen-activated protein kinase-dependent up-regulation of serotonin transporters involves both transporter trafficking and activation. Mol Pharmacol. 2004 Jun;65(6):1462–74.",15155839
"Sung U, Blakely RD. Calcium-dependent interactions of the human norepinephrine transporter with syntaxin 1A. Mol Cell Neurosci. 2007 Feb;34(2):251–60.",17188889
"Hahn MK, Blakely RD. Monoamine transporter gene structure and polymorphisms in relation to psychiatric and other complex disorders. Pharmacogenomics J. 2002;2(4):217–35.",12196911
"Sung U, Jennings JL, Link AJ, Blakely RD. Proteomic analysis of human norepinephrine transporter complexes reveals associations with protein phosphatase 2A anchoring subunit and 14-3-3 proteins. Biochem Biophys Res Commun. 2005 Aug 5;333(3):671–8.",15963952
"Steiner JA, Carneiro AMD, Blakely RD. Going with the flow: trafficking-dependent and -independent regulation of serotonin transport. Traffic. 2008 Sep;9(9):1393–402.",18445122
"Prasad HC, Zhu C-B, McCauley JL, Samuvel DJ, Ramamoorthy S, Shelton RC, et al. Human serotonin transporter variants display altered sensitivity to protein kinase G and p38 mitogen-activated protein kinase. Proc Natl Acad Sci U S A. 2005 Aug 9;102(32):11545–50.",16055563
"Dipace C, Sung U, Binda F, Blakely RD, Galli A. Amphetamine induces a calcium/calmodulin-dependent protein kinase II-dependent reduction in norepinephrine transporter surface expression linked to changes in syntaxin 1A/transporter complexes. Mol Pharmacol. 2007 Jan;71(1):230–9.",17032905
"Hahn MK, Robertson D, Blakely RD. A mutation in the human norepinephrine transporter gene (SLC6A2) associated with orthostatic intolerance disrupts surface expression of mutant and wild-type transporters. J Neurosci. 2003 Jun 1;23(11):4470–8.",12805287
"Savchenko V, Sung U, Blakely RD. Cell surface trafficking of the antidepressant-sensitive norepinephrine transporter revealed with an ectodomain antibody. Mol Cell Neurosci. 2003 Dec;24(4):1131–50.",14697674
"Miner LH, Schroeter S, Blakely RD, Sesack SR. Ultrastructural localization of the norepinephrine transporter in superficial and deep layers of the rat prelimbic prefrontal cortex and its spatial relationship to probable dopamine terminals. J Comp Neurol. 2003 Nov 24;466(4):478–94.",14566944
"Carneiro AMD, Airey DC, Thompson B, Zhu C-B, Lu L, Chesler EJ, et al. Functional coding variation in recombinant inbred mouse lines reveals multiple serotonin transporter-associated phenotypes. Proc Natl Acad Sci U S A. 2009 Feb 10;106(6):2047–52.",19179283
"Carneiro AMD, Blakely RD. Serotonin-, protein kinase C-, and Hic-5-associated redistribution of the platelet serotonin transporter. J Biol Chem. 2006 Aug 25;281(34):24769–80.",16803896
"Volpicelli-Daley LA, Hrabovska A, Duysen EG, Ferguson SM, Blakely RD, Lockridge O, et al. Altered striatal function and muscarinic cholinergic receptors in acetylcholinesterase knockout mice. Mol Pharmacol. 2003 Dec;64(6):1309–16.",14645660
"Sung U, Jennings JL, Link AJ, Blakely RD. Proteomic analysis of human norepinephrine transporter complexes reveals associations with protein phosphatase 2A anchoring subunit and 14-3-3 proteins. Biochem Biophys Res Commun. 2005 Aug 5;333(3):671–8.",15963952
"Sung U, Jennings JL, Link AJ, Blakely RD. Proteomic analysis of human norepinephrine transporter complexes reveals associations with protein phosphatase 2A anchoring subunit and 14-3-3 proteins. Biochem Biophys Res Commun. 2005 Aug 5;333(3):671–8.",15963952
"Zhu C-B, Carneiro AM, Dostmann WR, Hewlett WA, Blakely RD. p38 MAPK activation elevates serotonin transport activity via a trafficking-independent, protein phosphatase 2A-dependent process. J Biol Chem. 2005 Apr 22;280(16):15649–58.",15728187
"Williams JM, Owens WA, Turner GH, Saunders C, Dipace C, Blakely RD, et al. Hypoinsulinemia regulates amphetamine-induced reverse transport of dopamine. PLoS Biol. 2007 Oct 16;5(10):e274.",17941718
"Hoard JL, Hoover DB, Mabe AM, Blakely RD, Feng N, Paolocci N. Cholinergic neurons of mouse intrinsic cardiac ganglia contain noradrenergic enzymes, norepinephrine transporters, and the neurotrophin receptors tropomyosin-related kinase A and p75. Neuroscience. 2008 Sep 22;156(1):129–42.",18674600
"Liprando LA, Miner LH, Blakely RD, Lewis DA, Sesack SR. Ultrastructural interactions between terminals expressing the norepinephrine transporter and dopamine neurons in the rat and monkey ventral tegmental area. Synapse. 2004 Jun 15;52(4):233–44.",15103690
"Liprando LA, Miner LH, Blakely RD, Lewis DA, Sesack SR. Ultrastructural interactions between terminals expressing the norepinephrine transporter and dopamine neurons in the rat and monkey ventral tegmental area. Synapse. 2004 Jun 15;52(4):233–44.",15103690
"Tamminga CA, Nemeroff CB, Blakely RD, Brady L, Carter CS, Davis KL, et al. Developing novel treatments for mood disorders: accelerating discovery. Biol Psychiatry. 2002 Sep 15;52(6):589–609.",12361670
"Tamminga CA, Nemeroff CB, Blakely RD, Brady L, Carter CS, Davis KL, et al. Developing novel treatments for mood disorders: accelerating discovery. Biol Psychiatry. 2002 Sep 15;52(6):589–609.",12361670
"Mazei-Robison MS, Bowton E, Holy M, Schmudermaier M, Freissmuth M, Sitte HH, et al. Anomalous dopamine release associated with a human dopamine transporter coding variant. J Neurosci. 2008 Jul 9;28(28):7040–6.",18614672
"Carneiro AMD, Cook EH, Murphy DL, Blakely RD. Interactions between integrin alphaIIbbeta3 and the serotonin transporter regulate serotonin transport and platelet aggregation in mice and humans. J Clin Invest. 2008 Apr;118(4):1544–52.",18317590
